prompt_id,budget_tier,selected_model_id,selection_reason,latency_ms_mean,latency_ms_min,latency_ms_max,repeat
e404,fast,premium,nearest_envelope_fallback,4.974899968753259,4.785799887031317,5.270100082270801,3
e404,balanced,premium,nearest_envelope_fallback,5.012066685594618,4.917799960821867,5.090699996799231,3
e404,premium,premium,nearest_envelope_fallback,4.856599999281268,4.816900007426739,4.876599996350706,3
e501,fast,mid,nearest_budget_fallback,10.678200051188469,10.449500055983663,10.90910006314516,3
e501,balanced,mid,nearest_budget_fallback,10.553900036029518,10.475199902430177,10.640000109560788,3
e501,premium,mid,nearest_envelope_fallback,10.475899985370537,10.413000010885298,10.546899982728064,3
e502,fast,mid,nearest_budget_fallback,10.782399990906319,10.613800026476383,11.111299972981215,3
e502,balanced,mid,nearest_budget_fallback,10.794733340541521,10.665300069376826,10.94760000705719,3
e502,premium,mid,nearest_envelope_fallback,10.933600016869605,10.85129997227341,11.007599998265505,3
e503,fast,mid,nearest_budget_fallback,10.386133333668113,10.264500044286251,10.502699995413423,3
e503,balanced,mid,nearest_budget_fallback,10.452500001216928,10.203299927525222,10.643200017511845,3
e503,premium,mid,nearest_envelope_fallback,10.7787000015378,10.502599994651973,11.20830001309514,3
e504,fast,mid,nearest_budget_fallback,10.395933330679933,10.318199987523258,10.468100081197917,3
e504,balanced,mid,nearest_budget_fallback,10.323499989074966,10.254899971187115,10.358800063841045,3
e504,premium,mid,nearest_envelope_fallback,10.479433345608413,10.284799966029823,10.583900031633675,3
e505,fast,cheap,cheapest_feasible_envelope,10.808499995619059,10.748000000603497,10.92550007160753,3
e505,balanced,mid,nearest_budget_fallback,10.951599998710057,10.721700033172965,11.147000011987984,3
e505,premium,cheap,cheapest_feasible_envelope,10.813766663583616,10.660899919457734,10.976699995808303,3
e506,fast,mid,nearest_budget_fallback,11.353599994132916,11.102100019343197,11.67639996856451,3
e506,balanced,mid,nearest_budget_fallback,11.457600009938082,11.241399915888906,11.815300094895065,3
e506,premium,mid,nearest_envelope_fallback,12.326233321800828,11.473199934698641,13.528199982829392,3
e601,fast,premium,nearest_envelope_fallback,12.391000015971562,9.759900043718517,14.774900046177208,3
e601,balanced,premium,nearest_envelope_fallback,9.520399966277182,9.360500029288232,9.619999909773469,3
e601,premium,premium,nearest_envelope_fallback,9.319166652858257,9.20069997664541,9.446499985642731,3
e602,fast,premium,nearest_envelope_fallback,9.815833337294558,9.694700012914836,9.98760003130883,3
e602,balanced,premium,nearest_envelope_fallback,9.563733357936144,9.479000000283122,9.678500005975366,3
e602,premium,premium,nearest_envelope_fallback,9.445166680961847,9.375099907629192,9.49150009546429,3
e603,fast,premium,nearest_envelope_fallback,8.049233312097689,7.915599970147014,8.161199977621436,3
e603,balanced,premium,nearest_envelope_fallback,8.231766638346016,8.115399978123605,8.330499986186624,3
e603,premium,premium,nearest_envelope_fallback,8.049166683728496,7.905100006610155,8.177400100976229,3
e604,fast,premium,nearest_envelope_fallback,7.746099998864035,7.720800000242889,7.762899971567094,3
e604,balanced,premium,nearest_envelope_fallback,7.427366644454499,7.29969993699342,7.606100058183074,3
e604,premium,premium,cheapest_feasible_envelope,7.578566670417786,7.308300002478063,7.786400034092367,3
e605,fast,premium,nearest_envelope_fallback,9.103133304355046,9.01989999692887,9.157299995422363,3
e605,balanced,premium,nearest_envelope_fallback,8.874599977085987,8.71490000281483,8.96799995098263,3
e605,premium,premium,cheapest_feasible_envelope,9.23829999131461,9.032099973410368,9.360400028526783,3
e606,fast,premium,nearest_envelope_fallback,7.568966713733971,7.311000023037195,7.813000003807247,3
e606,balanced,premium,nearest_envelope_fallback,7.445633372602363,7.211000076495111,7.740400033071637,3
e606,premium,premium,cheapest_feasible_envelope,7.4026333168148994,7.255699951201677,7.642799988389015,3
e701,fast,abstain,abstain_probability,4.987633321434259,4.846600000746548,5.204000044614077,3
e701,balanced,abstain,abstain_probability,4.934866641027232,4.7417000168934464,5.113199935294688,3
e701,premium,abstain,abstain_probability,4.913400043733418,4.748200066387653,5.086700082756579,3
e702,fast,cheap,simple_prompt_prior,5.230933350200455,4.964299965649843,5.370500031858683,3
e702,balanced,cheap,simple_prompt_prior,5.334433323393266,5.041199969127774,5.826200009323657,3
e702,premium,cheap,simple_prompt_prior,5.149800019959609,5.028299987316132,5.34580007661134,3
e703,fast,abstain,abstain_probability,4.756133304908872,4.652500036172569,4.843499977141619,3
e703,balanced,abstain,abstain_probability,4.646233321788411,4.433099995367229,4.959299927577376,3
e703,premium,abstain,abstain_probability,4.602833340565364,4.546999931335449,4.639500053599477,3
e704,fast,cheap,simple_prompt_prior,5.14970001919816,5.0178999081254005,5.255100084468722,3
e704,balanced,cheap,simple_prompt_prior,5.090100069840749,5.024500074796379,5.134700099006295,3
e704,premium,cheap,simple_prompt_prior,5.147133332987626,4.942300030961633,5.494799930602312,3
e801,fast,abstain,abstain_probability,4.75449999794364,4.571199999190867,5.092900013551116,3
e801,balanced,abstain,abstain_probability,4.711999984768529,4.667799919843674,4.769899998791516,3
e801,premium,abstain,abstain_probability,4.942133324220777,4.844699986279011,5.0215000519528985,3
e802,fast,abstain,abstain_probability,5.1596666453406215,4.982099984772503,5.2807999309152365,3
e802,balanced,abstain,abstain_probability,5.349333320433895,5.24790002964437,5.512299947440624,3
e802,premium,abstain,abstain_probability,5.422733336066206,5.342500051483512,5.491000018082559,3
e803,fast,cheap,simple_prompt_prior,5.608366685919464,5.283800070174038,6.19310000911355,3
e803,balanced,cheap,simple_prompt_prior,5.378000011357169,5.199200008064508,5.529599962756038,3
e803,premium,cheap,simple_prompt_prior,5.376099996889631,5.251100054010749,5.586400046013296,3
